next,名称,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,a,1,,italic_low_a.png,back_alfabet.png,cursor_alfabet.png,pushed.png,24,12,11,1,2,0,0,0,0,0,0,0,0,a,0,0,1
1,b,1,,italic_low_b.png,-2,-2,-2,25,13,0,2,1,-111111,-222222,0,0,0,0,0,0,b,0,0,1
2,c,1,,italic_low_c.png,-2,-2,-2,26,14,1,3,2,-111111,-222222,0,0,0,0,0,0,c,0,0,1
3,d,1,,italic_low_d.png,-2,-2,-2,27,15,2,4,1,-111111,-222222,0,0,0,0,0,0,d,0,0,1
4,e,1,,italic_low_e.png,-2,-2,-2,28,16,3,5,3,-111111,-222222,0,0,0,0,0,0,e,0,0,1
5,f,1,,italic_low_f.png,-2,-2,-2,29,17,4,6,1,-111111,-222222,0,0,0,0,0,0,f,0,0,1
6,g,1,,italic_low_g.png,-2,-2,-2,30,18,5,7,1,-111111,-222222,0,0,0,0,0,0,g,0,0,1
7,h,1,,italic_low_h.png,-2,-2,-2,31,19,6,8,1,-111111,-222222,0,0,0,0,0,0,h,0,0,1
8,i,1,,italic_low_i.png,-2,-2,-2,32,20,7,9,1,-111111,-222222,0,0,0,0,0,0,i,0,0,1
9,j,1,,italic_low_j.png,-2,-2,-2,33,21,8,10,1,-111111,-222222,0,0,0,0,0,0,j,0,0,1
10,k,1,,italic_low_k.png,-2,-2,-2,34,22,9,11,1,-111111,-222222,0,0,0,0,0,0,k,0,0,1
11,l,1,,italic_low_l.png,-2,-2,-2,35,23,10,0,1,-111111,-222222,0,0,0,0,0,0,l,0,0,1
12,m,1,,italic_low_m.png,-2,-2,-2,0,24,23,13,1,0,-111111,0,0,0,0,0,0,m,0,0,1
13,n,1,,italic_low_n.png,-2,-2,-2,1,25,12,14,1,-111111,-222222,0,0,0,0,0,0,n,0,0,1
14,o,1,,italic_low_o.png,-2,-2,-2,2,26,13,15,1,-111111,-222222,0,0,0,0,0,0,o,0,0,1
15,p,1,,italic_low_p.png,-2,-2,-2,3,27,14,16,1,-111111,-222222,0,0,0,0,0,0,p,0,0,1
16,q,1,,italic_low_q.png,-2,-2,-2,4,28,15,17,1,-111111,-222222,0,0,0,0,0,0,q,0,0,1
17,r,1,,italic_low_r.png,-2,-2,-2,5,29,16,18,1,-111111,-222222,0,0,0,0,0,0,r,0,0,1
18,s,1,,italic_low_s.png,-2,-2,-2,6,30,17,19,1,-111111,-222222,0,0,0,0,0,0,s,0,0,1
19,t,1,,italic_low_t.png,-2,-2,-2,7,31,18,20,1,-111111,-222222,0,0,0,0,0,0,t,0,0,1
20,u,1,,italic_low_u.png,-2,-2,-2,8,32,19,21,1,-111111,-222222,0,0,0,0,0,0,u,0,0,1
21,v,1,,italic_low_v.png,-2,-2,-2,9,33,20,22,1,-111111,-222222,0,0,0,0,0,0,v,0,0,1
22,w,1,,italic_low_w.png,-2,-2,-2,10,34,21,23,1,-111111,-222222,0,0,0,0,0,0,w,0,0,1
23,x,1,,italic_low_x.png,-2,-2,-2,11,35,22,12,1,-111111,-222222,0,0,0,0,0,0,x,0,0,1
24,y,1,,italic_low_y.png,-2,-2,-2,12,0,35,25,1,0,-111111,0,0,0,0,0,0,y,0,0,1
25,z,1,,italic_low_z.png,-2,-2,-2,13,1,24,26,1,-111111,-222222,0,0,0,0,0,0,z,0,0,1
26,＜,1,,less_than.png,-2,-2,-2,14,2,25,27,1,-111111,-222222,0,0,0,0,0,0,＜,0,0,1
27,＞,1,,greater_than.png,-2,-2,-2,15,3,26,28,1,-111111,-222222,0,0,0,0,0,0,＞,0,0,1
28,≦,1,,less_than_over_equal_to.png,-2,-2,-2,16,4,27,29,1,-111111,-222222,0,0,0,0,0,0,≦,0,0,1
29,≧,1,,greater_than_over_equal_to.png,-2,-2,-2,17,5,28,30,1,-111111,-222222,0,0,0,0,0,0,≧,0,0,1
30,not equal,1,,not_equal_to.png,-2,-2,-2,18,6,29,31,1,-111111,-222222,0,0,0,0,0,0,≠,0,0,1
31,nearly equal,1,,nearly_equal_to.png,-2,-2,-2,19,7,30,32,1,-111111,-222222,0,0,0,0,0,0,≒,0,0,1
32,筆記体エル,1,,cursive_l.png,-2,-2,-2,20,8,31,33,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{20},0,0,1
33,デルタ,1,,increment.png,-2,-2,-2,21,9,32,34,1,-111111,-222222,0,0,0,0,0,0,#f_alg{Δ},0,0,1
34,デル,1,,partial_differential.png,-2,-2,-2,22,10,33,35,1,-111111,-222222,0,0,0,0,0,0,#f_alg{∂},0,0,1
35,無限大,1,,infinity.png,-2,-2,-2,23,11,34,24,1,-111111,-222222,0,0,0,0,0,0,∞,0,0,1
next,Title（20文字+1）,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
