発行済み最大ID=14
#Monster
モンID,名前,画像,制限時間,経験値,コイン,攻撃力
1,スライムナイト,suraimunaito.png,20,5,70,50
2,ホイミスライム,hoimisuraimu.png,25,6,80,52
3,オルゴデミラ2-4,orugodemira2-4.png,30,7,90,55
4,ハグレメタル,haguremetaru.png,40,8,120,50
5,スライム,suraimu.png,50,10,150,50
6,キングスライム,kingusuraimu.png,10,12,180,50
7,バブルスライム,baburusuraimu.png,70,14,210,50
8,メタルキング,metarukingu.png,80,16,240,50
9,ひとくいばこ,hitokuibako.png,90,18,270,50
10,メタルスライム,metarusuraimu.png,100,20,300,50
11,オルゴデミラ2-3,orugodemira2-3.png,110,22,330,50
12,オルゴデミラ2-2,orugodemira2-2.png,120,24,360,50
13,わらいぶくろ,waraibukuro.png,130,26,390,50
14,オルゴデミラ2-1,orugodemira2-1.png,140,28,420,50
